UID	PID	PPID	LWP	NLWP	STIME	TIME	CMD
root	851	1	903	7	06:53:40	00:00:00	/usr/lib/snapd/snapd	
root	851	1	904	7	06:53:40	00:00:00	/usr/lib/snapd/snapd	
root	851	1	905	7	06:53:40	00:00:00	/usr/lib/snapd/snapd	
root	851	1	911	7	06:53:40	00:00:00	/usr/lib/snapd/snapd	
root	851	1	918	7	06:53:40	00:00:00	/usr/lib/snapd/snapd	
root	851	1	919	7	06:53:40	00:00:00	/usr/lib/snapd/snapd	
root	883	1	883	1	06:53:40	00:00:00	/sbin/mdadm	
root	895	1	895	3	06:53:40	00:00:00	/usr/lib/policykit-1/polkitd	
root	895	1	898	3	06:53:40	00:00:00	/usr/lib/policykit-1/polkitd	
root	895	1	900	3	06:53:40	00:00:00	/usr/lib/policykit-1/polkitd	
root	1038	1	1038	1	06:53:42	00:00:00	/usr/sbin/sshd	
root	1052	1	1052	1	06:53:42	00:00:00	/sbin/iscsid	
root	1053	1	1053	1	06:53:42	00:00:00	/sbin/iscsid	
root	1116	1	1116	1	06:53:42	00:00:00	/bin/login	
osc	1178	1	1178	1	06:53:56	00:00:00	/lib/systemd/systemd	
osc	1180	1178	1180	1	06:53:56	00:00:00	(sd-pam)	
osc	1185	1116	1185	1	06:53:56	00:00:00	-bash	
osc	1201	1185	1201	1	06:58:27	00:00:00	./a.out	
