0,3.94266666666667
0.2,5.95675
0.4,7.7842
0.6,11.4722
0.8,14.9406
1,18.2692
1.2,21.3794
1.4,24.3732
1.6,27.2448
1.8,29.938
2,32.4572
2.2,34.6836
2.4,36.7812
2.6,38.6082
2.8,40.2588
3,41.7366
3.2,43.072
3.4,44.2224
3.6,45.2264
3.8,46.0216
4,46.484
4.2,46.712
4.4,46.6906
4.6,46.3844
4.8,45.8582
5,45.2522
5.2,44.408
5.4,43.4008
5.6,42.2112
5.8,40.8394
6,39.258
6.2,37.4948
6.4,35.4324
6.6,33.1638
6.8,30.73
7,28.0876
7.2,25.2588
7.4,22.2318
7.6,19.0014
7.8,15.5304
8,11.9102
8.2,8.0742
8.4,4.9316
8.6,2.5358
8.8,0.9062
9,0.0276
9.2,0
9.4,0
9.6,0
9.8,0
10,0
